x,y,t,v
-0.975433,-2.53796,23.0844,0.8
-0.985086,-2.47575,23.1631,0.8
-0.994401,-2.41252,23.243,0.8
-1.00371,-2.34926,23.323,0.8
-1.01302,-2.28601,23.4029,0.8
-1.02233,-2.22276,23.4828,0.8
-1.03165,-2.15951,23.5627,0.8
-1.04096,-2.09626,23.6426,0.8
-1.05027,-2.033,23.7225,0.8
-1.05964,-1.96934,23.803,0.8
-1.06919,-1.90449,23.8849,0.8
-1.07903,-1.83764,23.9694,0.8
-1.08928,-1.76797,24.0574,0.8
-1.10007,-1.69467,24.15,0.8
-1.11152,-1.61691,24.2483,0.8
-1.12389,-1.53289,24.3544,0.8
-1.13774,-1.43878,24.4733,0.8
-1.15368,-1.33052,24.635,0.676663
-1.1723,-1.20401,24.8576,0.574462
-1.19421,-1.0552,25.2126,0.423779
-1.22,-0.88,28.7543,0.05
